ISO,Latitude,Longitude,Source,,,,,,,,,
GRD,12.1167,-61.6667,https://www.gov.uk/foreign-travel-advice/grenada/entry-requirements,,,,,,,,,
GTM,15.5,-90.25,https://gt.usembassy.gov/message-for-u-s-citizens-changes-on-covid-19-restrictions-by-government-of-guatemala/,,,,,,,,,
GIN,11,-10,https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
GNB,12,-15,https://gw.usmission.gov/covid-19-information/,,,,,,,,,
GUY,5,-59,https://gy.usembassy.gov/covid-19-information/,,,,,,,,,
HTI,19,-72.4167,https://ht.usembassy.gov/covid-19-information/,,,,,,,,,
HND,15,-86.5,https://hn.usembassy.gov/covid-19-information/,,,,,,,,,
HKG,22.25,114.1667,https://hk.usconsulate.gov/covid-19-information/,,,,,,,,,
HUN,47,20,https://hu.usembassy.gov/covid-19/,,,,,,,,,
ISL,65,-18,https://www.covid.is/sub-categories/tourists,,,,,,,,,
IND,20,77,https://boi.gov.in/content/advisory-travel-and-visa-restrictions-related-covid-19-0,,,,,,,,,
IDN,-5,120,https://id.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
IRN,32,53,https://ir.usembassy.gov/covid-19-information/,,,,,,,,,
IRQ,33,44,https://iq.usembassy.gov/covid-19-information/,,,,,,,,,
IRL,53,-8,https://www.dfa.ie/travel/travel-advice/coronavirus/,,,,,,,,,
ISR,31.5,34.75,https://il.usembassy.gov/covid-19-information/,,,,,,,,,
ITA,42.8333,12.8333,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?lingua=english&id=230,,,,,,,,,
JAM,18.25,-77.5,https://jm.usembassy.gov/covid-19-information-jamaica/,,,,,,,,,
JPN,36,138,https://www.japan.travel/en/coronavirus/,,,,,,,,,
JOR,31,36,https://jo.usembassy.gov/covid-19-information/,,,,,,,,,
KAZ,48,68,https://kz.usembassy.gov/covid-19-information/,,,,,,,,,
KEN,1,38,https://ke.usembassy.gov/covid-19-information/,,,,,,,,,
KIR,1.4167,173,https://fj.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
KOS,42.6,20.9,https://xk.usembassy.gov/coronavirus/,,,,,,,,,
KWT,29.3375,47.6581,https://kw.usembassy.gov/covid-19-information/,,,,,,,,,
KGZ,41,75,https://www.gov.uk/foreign-travel-advice/kyrgyzstan/entry-requirements,,,,,,,,,
